,title,cluster
9,My ENT wants to do a harsh turbinate reduction method with scissors and I want a safer method because the turbinates are delicate. Should I go to plastic surgeon instead? I believe if Im interested in cosmetic services as well my septum can be used to harvest materials for grafts and I can save on anesthesia services.,2
10,In july 2021 i make septhoplasty and i got this saddle nose deformity. Is not increassing or decresing since procedure. I think some carthilage is missing. I need an advice. What is best procedure for me? Carthilage from rib or other procedure? Thank you,2
18,"What is the best technique for MT resection? Surgeon says he uses turbinate scissors, to remove only some of the bone, for a partial MT resection. Can dryness occur from this type of technique?",2
30, ,2
32,"I hate breathing at night also add the tip droopy, the thin narrow nose that's long and on inspiration it conclaves further touching sides. Additionally it flares when I smile and points down... help please!",2
42,Which is better for a smoother recovery? Which is better safety-wise? It's being performed by an ENT doctor.,2
48,"Had a septoplasty at 17. Re-deviated somehow after a few years. At 22 had revision septoplasty, which failed. Recommended septorhinoplasty. I'm worried about it failing again(made it worse and feels like it keeps getting worse as time goes on) or septal perforation. Consulted with one surgeon and he said it looked more like a nasal fracture (what's he mean?) cbct scans: https://thumbs.gfycat.com/DirectSoulfulAmericanblackvulture-mobile.mp4 https://thumbs.gfycat.com/NegativeWanCat-mobile.mp4",2
49,"Hello, I have a 6mm anterior septal perforation. Should I&nbsp;be blowing out the crust/boogers that fill the hole or leave them be? Also is 6mm considered a large hole? What is the success rate for a repair of this size?",2
52,"Literature says that septal perforation repair has a questionable success rate. Yet, some providers that claim to be able to repair septal perforations with high success rate are unclear on what timeframe they are using to measure. Is 30 days long enough to be sure the mucosa has fully healed and the chances of long-term stability are high, or is that too short given that the graft material has probably not fully fused yet? Is 12 months too long to expect a provider to use as a measurement?",2
54,I have been in discussion with two plastic surgeons who specialize in septal perforation repair about getting mine fixed. One prefers to use alloderm as a graft - which obviously reduces donor site morbidity concerns since there is no graft donation from the patient. But can alloderm change and adapt with the body over time if the nose changes shape as one ages? I only want to have this procedure done once. I would think patient donor cartilage would perform better long-term.,2
58, ,2
64,"Are revision Septoplasty surgeries recommended for pain and obstruction? How likely are they to help with the issues of pain, dizziness, pulling, tugging feeling and obstruction?",2
71, ,2
73,Do most insurances cover septoplasties?,2
79,"Hello, i have a deviated septum and considering surgery but afraid of blade and trauma Does endoscopic septoplasty involve less side effects and how much it is prevalent?",2
81,Its a nostril piercing,2
82, ,2
84, ,2
88, ,2
96, ,2
101,"I had a&nbsp;septoplasty&nbsp;3 years ago but since&nbsp;the&nbsp;first week after&nbsp;my operation I always complained to doctor&nbsp; that&nbsp;one side is blocked and&nbsp;air flow from the&nbsp;one side is to&nbsp;fast.&nbsp;&nbsp;In a day I feel face pain&nbsp;3 to 5 times. While focusing on my studies&nbsp;I am breathing very fast&nbsp;from one side and if I try&nbsp;to focus then a&nbsp; headache will&nbsp;start.&nbsp;Now if I run i get tired, my whole body, muscles, start to feel pain. If I am constantly busy then I am doing good and do not have my mind on my airflow, but If I sit&nbsp;alone then instantly my nose problem start.",2
104,I have a crooked nose and want to know the criteria for coverage.,2
