,id,answer_count,body,title,uri
0,12130561,1,"Can a septoplasty fix upper lip asymmetry? The septum is deviated, the tip is off to the side, and the nostrils are at different heights. Therefore, the upper lip is also asymmetric, and its crooked/tilted so that the lip line is diagonal. So, will a septoplasty fix this issue, or is more needed to permanently fix the issue at hand?",Can a septoplasty fix my upper lip asymmetry?,/question/singapore-septoplasty-upper-lip-asymmetry
1,12092898,1,"I had a septoplasty 3 years ago, it was done using my own cartilage from the nose and it was placed on the tip of the nose. And I have been seeing redness every now and then, but it doesnt cause any pain nor breathing problem, it just gets red and it comes and go. Will it be related to the surgery? I have seen a surgeon here but I was told the nose was fine and was given antibiotics. It improved but it comes and go.",3 years post op & have tip redness now & then - is it related to surgery? (Photos),/question/madrid-comunidad-de-madrid-espa-a-3-years-post-op-redness-tip
2,12086604,2,"March 10th of 2021 I had Septoplasty with Turbinate Reduction of my middle turbinate's (he removed 40-50% each) and small reduction of inferior (less than 10%). I have seen 2 doctors since the surgery both say I would not have removed that much of the middle turbinate but you do not have Empty Nose Syndrome. But I still feel way too much cold air that hits my throat on one side and other is still deviated. I am now dizzy alot and have no idea what do next, it ruined my life !","16 months post-op. 40-50% of my middle turbinates were removed. I am now dizzy a lot, what should I do?",/question/atlanta-georgia-16-months-post-septoplasty-turbinate-reduction
3,11901362,2,"I have a very weird congenitally crooked nose. Ive felt different. I want to get it fixed, as well as a decent breathing problem I have, but having a bulbous tip and a sizeable bump, I am wondering if my nose can be made smaller at the tip, bump lessened, and still improve breathing with the septoplasty. IIs this possible? There is a congenitally collapsed side of my nose where i could see a spreader graft being used, but mostly I think a reduction in size would suit my face best. Thank you!","Can my nose be made smaller at the tip, bump lessened and breathing improved with septoplasty? (Photo)",/question/jacksonville-florida-septorhinoplasty-question
4,11923873,3,"i have noticed asymmetry in my nose from the front as well as the side. I also have a slight bump on my nose which is more noticeable on one side then the other. I also constantly feel like one side of my nose is more blocked then the other, do i have a deviated septum?","Feels like 1 side of nose is more blocked, do I have a deviated septum? (Photo)",/question/septoplasty-asymmetry-blocked-deviated-septum
5,11677113,1,My 16 month old headbutted me last week. I just had a septoplasty in July of this year because my 2 year old headbutted me and I couldn't breathe well on the right side. Now I cannot breathe well on the right side again. Can you tell if this is a deviated septum. There is a reddish pink area that I think I see blocking the opening.,Is this a re-deviated septum? (photos),/question/tyler-alabama-redeviated-septum
6,12022343,2,"First of all, I'm not really sure that a septoplasty is what I need, but RealSelf doesn't have a general or other category. I have been dealing with a mystery for about a year and a half now. I've seen 12 different doctors and none of them can figure out why my nose randomly swells up and gets red for anywhere between 5 mins and 2 hours everyday. At one point they thought I had carcinoid syndrome but a urine test ruled it out. I'm at my wit's end.","Mysterious condition, can anyone help? My nose randomly swells up and gets red",/question/atlantic-mi-mysterious-condition
7,11983936,2,"I had my surgery over a year ago. 1 month post op I started getting some really bad headaches. The ent assured me it was not related to surgery. Fast forward to two weeks ago, They are so unbearable and last for days. My mri came back I have an obstructed nasal cavity. When I looked at the scans myself I also noticed there is some kind of label on my bone. If I get this corrected will these headaches go away? Is this bone label a foreign object?? Im freaking out.","1 year post op- Septorhinoplasty MRI shows I have an obstructed nasal cavity, if I get it corrected will the headaches go away?",/question/virginia-beach-va-mri-headaches-obstructed-nasal-cavity
8,11877512,4,I have deviated septum which really bothers me as I cannot breathe properly; and droopy nose. I have a hump too but it does not bother me at all. I went to see a doctor and he said he has to correct the hump as well and it's not possible to do surgery without fixing all together. I honestly don't want to lose my hump as it's not a problem. I'm planning to see other doctors; but can someone advise me whether I can just have tip+cartilage surgery only?,Can my nose be fixed with Septoplasty and Tip Plasty only and without touching my hump? (photos),/question/new-york-ny-usa-nose-fixed-septoplasty-tip-plasty-touching-hump
9,11879438,4,My ENT wants to do a harsh turbinate reduction method with scissors and I want a safer method because the turbinates are delicate. Should I go to plastic surgeon instead? I believe if Im interested in cosmetic services as well my septum can be used to harvest materials for grafts and I can save on anesthesia services.,ENT or plastic surgeon for Septoplasty - which one should I go to?,/question/gustine-california-ent-plastic-surgeon-septoplasty
10,11853796,1,In july 2021 i make septhoplasty and i got this saddle nose deformity. Is not increassing or decresing since procedure. I think some carthilage is missing. I need an advice. What is best procedure for me? Carthilage from rib or other procedure? Thank you,How can this saddle nose be repaired (septoplasty trauma)? (photos),/question/bucure-ti-bucure-ti-rom-nia-saddle-nose-repaired-septhoplasty-trauma
11,11850144,1,Would septoplasty fix my deviation? And would open or closed technique be more suitable,Suitable for septoplasty to fix my deviation?,/question/england-united-kingdom-suitable-septoplasty
